[ approach_1.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 77
  /diagnostics_agg => 23
  /diagnostics_toplevel_state => 23
  /gps/fix => 86
  /gps/rtkfix => 112
  /gps/time => 106
  /image_raw => 333
  /obs1/gps/fix => 11
  /obs1/gps/rtkfix => 111
  /obs1/gps/time => 85
  /radar/points => 222
  /radar/range => 222
  /radar/tracks => 222
  /rosout => 15
  /tf => 1100
  /velodyne_nodelet_manager/bond => 44
  /velodyne_packets => 111
  /velodyne_points => 110
Total: 3015

[ approach_2.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 84
  /diagnostics_agg => 24
  /diagnostics_toplevel_state => 24
  /gps/fix => 89
  /gps/rtkfix => 121
  /gps/time => 114
  /image_raw => 361
  /obs1/gps/fix => 20
  /obs1/gps/rtkfix => 121
  /obs1/gps/time => 87
  /radar/points => 241
  /radar/range => 241
  /radar/tracks => 241
  /rosout => 15
  /tf => 1193
  /velodyne_nodelet_manager/bond => 48
  /velodyne_packets => 120
  /velodyne_points => 120
Total: 3266

[ approach_3.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 98
  /diagnostics_agg => 27
  /diagnostics_toplevel_state => 27
  /gps/fix => 100
  /gps/rtkfix => 136
  /gps/time => 134
  /image_raw => 410
  /obs1/gps/fix => 25
  /obs1/gps/rtkfix => 134
  /obs1/gps/time => 94
  /radar/points => 274
  /radar/range => 274
  /radar/tracks => 274
  /rosout => 15
  /tf => 1357
  /velodyne_nodelet_manager/bond => 56
  /velodyne_packets => 137
  /velodyne_points => 137
Total: 3711

[ corner_pass.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 153
  /diagnostics_agg => 44
  /diagnostics_toplevel_state => 44
  /gps/fix => 164
  /gps/rtkfix => 218
  /gps/time => 206
  /image_raw => 653
  /obs1/gps/fix => 35
  /obs1/gps/rtkfix => 217
  /obs1/gps/time => 149
  /radar/points => 436
  /radar/range => 436
  /radar/tracks => 436
  /rosout => 15
  /tf => 2161
  /velodyne_nodelet_manager/bond => 84
  /velodyne_packets => 218
  /velodyne_points => 218
Total: 5889

[ sitting.bag ]
  /cloud_nodelet/parameter_descriptions => 1
  /cloud_nodelet/parameter_updates => 1
  /diagnostics => 820
  /diagnostics_agg => 235
  /diagnostics_toplevel_state => 235
  /gps/fix => 925
  /gps/rtkfix => 1175
